"stn_num","stn_name","et_year","et_month","weighted_avg_eto","et_amount","accuracy_ratio"
6,"Davis",2013,11,2.54548987621853,2.89000001363456,0.880792340556856
6,"Davis",2013,12,1.92261913501562,2.22000001184642,0.866044650791032
6,"Davis",2014,1,2.22493831259396,2.37999997846782,0.934848038959358
6,"Davis",2014,2,1.9015137320564,1.90999999083579,0.99555693255492
6,"Davis",2014,3,3.83462716443056,3.98000000044703,0.963474161809008
6,"Davis",2014,4,5.45616583127772,5.54000001586974,0.98486747574876
6,"Davis",2014,5,7.89927515068089,8.15999998152256,0.968048427520582
6,"Davis",2014,6,8.46705449177883,8.69000010192394,0.974344579110448
6,"Davis",2014,7,8.11477820621316,8.48000009357929,0.956931381682099
6,"Davis",2014,8,6.98426267908216,7.0599999986589,0.989272334335536
6,"Davis",2014,9,5.46825478452301,5.64999996870756,0.967832710585638
6,"Davis",2014,10,3.90046911587217,4.12000000476837,0.94671580372764
6,"Davis",2014,11,1.79596769332341,1.84999999217689,0.970793351847584
6,"Davis",2014,12,1.00879897358496,1.07999999821186,0.934073125236312
6,"Davis",2015,1,1.45518989372571,1.5099999923259,0.963701921272352
6,"Davis",2015,2,2.3174054394022,2.35000001825392,0.986129966553813
6,"Davis",2015,3,4.27335503685771,4.42999997735023,0.964639968105323
6,"Davis",2015,4,5.9708024964608,6.1699999794364,0.967715156622449
6,"Davis",2015,5,6.76602268541749,7.05999994277954,0.95836016150925
6,"Davis",2015,6,7.70814538774525,8.13000006601214,0.948111356108042
6,"Davis",2015,7,8.50856466629575,8.3400000333786,1.02021158659982
6,"Davis",2015,8,7.26966684898357,7.44999995827675,0.975794213382132
6,"Davis",2015,9,5.33117475829249,5.66000000201166,0.941903667208074
6,"Davis",2015,10,4.05895337038745,4.21999999508262,0.961837292681796
6,"Davis",2015,11,1.99420916818398,2.2200000025332,0.898292417075868
6,"Davis",2015,12,1.20940284841112,1.25999999046326,0.95984353774992
6,"Davis",2016,1,1.10140603935811,1.15999998338521,0.949487978563494
6,"Davis",2016,2,2.54438313678019,2.59999999776483,0.978608899602905
6,"Davis",2016,3,3.22837043692589,3.36000001057982,0.960824531773968
6,"Davis",2016,4,5.57181677540533,5.55999997071922,1.00212532459503
6,"Davis",2016,5,6.73630540395836,7.05000004544854,0.955504306458452
6,"Davis",2016,6,8.17696436144396,8.3200000077486,0.982808215604395
6,"Davis",2016,7,8.57926348299312,8.64000007510185,0.992970301900372
6,"Davis",2016,8,7.38911914889808,7.26999996602535,1.01638503210858
6,"Davis",2016,9,5.72225876573643,5.78000004589558,0.99001015922134
6,"Davis",2016,10,3.03051381033405,3.11999999731779,0.971318529788245
6,"Davis",2016,11,1.72165337183234,1.739999987185,0.989455968110471
7,"Firebaugh/Telles",2013,1,1.54851996079759,1.24999998696148,1.23881598155993
7,"Firebaugh/Telles",2013,2,2.40071851441577,2.26000000350177,1.06226482774158
7,"Firebaugh/Telles",2013,3,4.26490885592144,3.89999997988343,1.09356637895391
7,"Firebaugh/Telles",2013,4,6.65660961025527,6.07999996840954,1.09483711263843
7,"Firebaugh/Telles",2013,5,8.01866233501786,7.12999997287989,1.12463707791278
7,"Firebaugh/Telles",2013,6,8.47700262162672,7.61999998986721,1.11246753712587
7,"Firebaugh/Telles",2013,7,8.55958881786482,7.88999997079372,1.08486550691378
7,"Firebaugh/Telles",2013,8,7.64371724108197,7.01999990642071,1.08884862435551
7,"Firebaugh/Telles",2013,9,5.8729023959641,5.27000003308058,1.11440272468672
7,"Firebaugh/Telles",2013,10,4.19623649200191,3.81999997794628,1.09849123461459
7,"Firebaugh/Telles",2013,11,2.30507642916714,1.85999999009073,1.23928840938042
7,"Firebaugh/Telles",2013,12,1.71011402982025,1.07999998144805,1.58343894370012
7,"Firebaugh/Telles",2014,1,2.01467020073808,1.65999997965991,1.21365676230359
7,"Firebaugh/Telles",2014,2,2.22196230444891,2.0099999923259,1.10545388703098
7,"Firebaugh/Telles",2014,3,4.25531172641768,3.84999999776483,1.10527577373718
7,"Firebaugh/Telles",2014,4,5.99341645461071,5.47999997064471,1.09368913991173
7,"Firebaugh/Telles",2014,5,8.59459712947832,7.62999998033047,1.12642164503729
7,"Firebaugh/Telles",2014,6,9.08651058214947,8.08000002801418,1.12456813745614
7,"Firebaugh/Telles",2014,7,8.41936457103945,7.65999998152256,1.0991337586617
7,"Firebaugh/Telles",2014,8,7.47565316959067,6.78999996930361,1.10097985322338
7,"Firebaugh/Telles",2014,9,5.78907437165501,5.19000001624227,1.11542858449671
7,"Firebaugh/Telles",2014,10,4.29835888915118,3.85000002011657,1.1164568484914
7,"Firebaugh/Telles",2014,11,1.84298789523747,1.44999998807907,1.27102614509606
7,"Firebaugh/Telles",2014,12,1.12053628984603,0.609999991953373,1.836944761684
7,"Firebaugh/Telles",2015,1,1.22162490147804,0.789999986067414,1.54636066205423
7,"Firebaugh/Telles",2015,2,2.21769957609242,2.26000002399087,0.981282987854243
7,"Firebaugh/Telles",2015,3,4.49377821110467,4.44000000879169,1.01211220770417
7,"Firebaugh/Telles",2015,4,6.04754604567436,5.83999994397163,1.03553871638594
7,"Firebaugh/Telles",2015,5,6.34565996425456,6.71999994665384,0.944294645034085
7,"Firebaugh/Telles",2015,6,8.36732476211285,8.15999993681908,1.02540745427684
7,"Firebaugh/Telles",2015,7,8.23678593045163,7.97000002861023,1.03347376422631
7,"Firebaugh/Telles",2015,8,7.71885320667552,7.2299999371171,1.06761456069298
